group,value,cases,mrr,exact_at_1,exact_at_3,exact_at_5,exact_at_10,exact_at_50,exact_at_1_numerator,exact_at_3_numerator,exact_at_5_numerator,exact_at_10_numerator,exact_at_50_numerator,exact_at_1_denominator,exact_at_3_denominator,exact_at_5_denominator,exact_at_10_denominator,exact_at_50_denominator
near_duplicate_095,near_duplicate_095_present,44,0.9772727272727273,0.9545454545454546,1.0,1.0,1.0,1.0,42,44,44,44,44,44,44,44,44,44
near_duplicate_095,near_duplicate_095_absent,1012,0.6145962285733431,0.4901185770750988,0.6571146245059288,0.7529644268774703,0.8863636363636364,0.991106719367589,496,665,762,897,1003,1012,1012,1012,1012,1012
near_duplicate_095,near_duplicate_095_same_nandina,42,1.0,1.0,1.0,1.0,1.0,1.0,42,42,42,42,42,42,42,42,42,42
near_duplicate_095,near_duplicate_095_different_nandina,3,0.6666666666666666,0.3333333333333333,1.0,1.0,1.0,1.0,1,3,3,3,3,3,3,3,3,3
