group,value,cases,mrr,exact_at_1,exact_at_3,exact_at_5,exact_at_10,exact_at_50,exact_at_1_numerator,exact_at_3_numerator,exact_at_5_numerator,exact_at_10_numerator,exact_at_50_numerator,exact_at_1_denominator,exact_at_3_denominator,exact_at_5_denominator,exact_at_10_denominator,exact_at_50_denominator
support_count_series,1,15,0.6035185185185185,0.4666666666666667,0.6666666666666666,0.8666666666666667,1.0,1.0,7,10,13,15,15,15,15,15,15,15
support_count_series,2-4,32,0.8868055555555555,0.84375,0.9375,0.9375,0.9375,1.0,27,30,30,30,32,32,32,32,32,32
support_count_series,5-9,27,0.6963276504017244,0.5185185185185185,0.8518518518518519,0.8888888888888888,0.8888888888888888,1.0,14,23,24,24,27,27,27,27,27,27
support_count_series,10+,982,0.6198981478613248,0.4989816700610998,0.6578411405295316,0.7525458248472505,0.8879837067209776,0.9908350305498982,490,646,739,872,973,982,982,982,982,982
