pool_id,classification,case_id,nandina_ref,depth,effective_size,duplicates_discarded,exact_at_depth,hs6_at_depth,hs4_at_depth,chapter_at_depth
hierarchical_only,candidate_pool,DA-EVAL-V02-00059,87088020,50,50,0,0,0,0,1
hierarchical_only,candidate_pool,DA-EVAL-V02-00060,87088020,50,50,0,0,0,0,1
hierarchical_only,candidate_pool,DA-EVAL-V02-00061,87089200,50,50,0,1,1,1,1
hierarchical_only,candidate_pool,DA-EVAL-V02-00062,87089200,50,50,0,1,1,1,1
hierarchical_only,candidate_pool,DA-EVAL-V02-00063,87089999,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00064,87089100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00065,87081000,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00066,87089100,50,50,0,0,0,0,1
hierarchical_only,candidate_pool,DA-EVAL-V02-00067,87089100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00068,87089100,50,50,0,0,0,0,1
hierarchical_only,candidate_pool,DA-EVAL-V02-00069,87082920,50,50,0,0,0,0,1
hierarchical_only,candidate_pool,DA-EVAL-V02-00070,87082920,50,50,0,0,0,0,1
hierarchical_only,candidate_pool,DA-EVAL-V02-00071,87082920,50,50,0,0,0,0,1
hierarchical_only,candidate_pool,DA-EVAL-V02-00072,87082930,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00073,87082930,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00074,87081000,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00075,87081000,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00076,87082990,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00077,87082990,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00078,87081000,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00079,87089100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00080,87089100,50,50,0,0,0,0,1
hierarchical_only,candidate_pool,DA-EVAL-V02-00081,87089100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00082,87089100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00083,87089100,50,50,0,0,0,0,1
hierarchical_only,candidate_pool,DA-EVAL-V02-00084,87089100,50,50,0,1,1,1,1
hierarchical_only,candidate_pool,DA-EVAL-V02-00085,87082920,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00086,87089100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00087,87082920,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00088,87081000,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00089,87082930,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00090,87082990,50,50,0,0,0,0,1
hierarchical_only,candidate_pool,DA-EVAL-V02-00091,87082930,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00092,87082990,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00093,87082990,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00094,87082990,50,50,0,0,0,0,1
hierarchical_only,candidate_pool,DA-EVAL-V02-00095,87082920,50,50,0,0,0,0,1
hierarchical_only,candidate_pool,DA-EVAL-V02-00096,87082920,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00097,87082910,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00098,87082920,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00099,87082930,50,50,0,0,0,0,1
hierarchical_only,candidate_pool,DA-EVAL-V02-00100,87082990,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00101,87081000,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00102,87082990,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00103,87082990,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00104,87082930,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00105,87081000,50,50,0,0,0,0,1
hierarchical_only,candidate_pool,DA-EVAL-V02-00106,87032390,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00107,87032290,50,50,0,0,0,0,1
hierarchical_only,candidate_pool,DA-EVAL-V02-00108,87032100,50,50,0,0,0,0,1
hierarchical_only,candidate_pool,DA-EVAL-V02-00109,87032100,50,50,0,0,0,0,1
hierarchical_only,candidate_pool,DA-EVAL-V02-00110,87032100,50,50,0,0,0,0,1
hierarchical_only,candidate_pool,DA-EVAL-V02-00111,87032100,50,50,0,0,0,0,1
