occurrence_id,source_artifact,source_locator,source_type,phase,target_artifact,legacy_expected_sha256,canonical_git_lf_sha256,crlf_reconstructed_sha256,legacy_matches_crlf,legacy_matches_lf,classification,contract_lifecycle,migration_action,notes
OCC-011,outputs/audits/exp07_dev_eval_freeze_v0.2/gate_exp07_dev_eval_freeze_manifest_v0.2.json,/input_sha256/outputs~1evaluation~1he4_top3_explainer_data_aduanas_clase87_v0.2~1he4_automatic_validation_case_results_v0.2.csv,JSON,EXP-07,outputs/evaluation/he4_top3_explainer_data_aduanas_clase87_v0.2/he4_automatic_validation_case_results_v0.2.csv,c177033bb21f80579da18f375c8443192c2df7ad72a9f3ffadc45937867c482c,04d9ba0d6b68a48228d6922f4dbfd338e738b46a2495f0d2f1c8e65f434304e7,c177033bb21f80579da18f375c8443192c2df7ad72a9f3ffadc45937867c482c,true,false,EXPECTED_MATCHES_LEGACY_CRLF_REPRESENTATION,HISTORICAL_LEGACY_CONTRACT,PRESERVE_HISTORICAL_LEGACY_AND_MAP,SHA-256 calculated from Git content bytes; CRLF value reconstructed in memory.
OCC-012,outputs/audits/exp07_dev_eval_freeze_v0.2/gate_exp07_dev_eval_freeze_manifest_v0.2.json,/input_sha256/outputs~1evaluation~1he4_top3_explainer_data_aduanas_clase87_v0.2~1he4_qualitative_case_scores_v0.2.csv,JSON,EXP-07,outputs/evaluation/he4_top3_explainer_data_aduanas_clase87_v0.2/he4_qualitative_case_scores_v0.2.csv,ad8e1818a0032f07f02db43da7a5e732cfcf534dbad312cda7a551226f6d001a,a18a112600dea0b43a0f361eaa29cc45566d793117ba2b75e9a2d9f638c47fd7,ad8e1818a0032f07f02db43da7a5e732cfcf534dbad312cda7a551226f6d001a,true,false,EXPECTED_MATCHES_LEGACY_CRLF_REPRESENTATION,HISTORICAL_LEGACY_CONTRACT,PRESERVE_HISTORICAL_LEGACY_AND_MAP,SHA-256 calculated from Git content bytes; CRLF value reconstructed in memory.
OCC-013,outputs/audits/exp07_dev_eval_freeze_v0.2/gate_exp07_dev_eval_freeze_manifest_v0.2.json,/input_sha256/outputs~1evaluation~1he5_integrated_error_analysis_v0.2~1gate_l_corrective_microclose_manifest_v0.2.json,JSON,EXP-07,outputs/evaluation/he5_integrated_error_analysis_v0.2/gate_l_corrective_microclose_manifest_v0.2.json,8944de61d50dfeb3cb547bd4ee1c48bf15b471d9605e1c071803f5260b7bbd2c,b4063a122460dfce555ad51dfe70e2c90a4f9791c4959d1bdcfb2d58ab75a59b,8944de61d50dfeb3cb547bd4ee1c48bf15b471d9605e1c071803f5260b7bbd2c,true,false,EXPECTED_MATCHES_LEGACY_CRLF_REPRESENTATION,HISTORICAL_LEGACY_CONTRACT,PRESERVE_HISTORICAL_LEGACY_AND_MAP,SHA-256 calculated from Git content bytes; CRLF value reconstructed in memory.
OCC-014,outputs/audits/exp07_dev_eval_freeze_v0.2/gate_exp07_dev_eval_freeze_manifest_v0.2.json,/input_sha256/outputs~1evaluation~1he5_integrated_error_analysis_v0.2~1he5_integrated_error_matrix_v0.2.csv,JSON,EXP-07,outputs/evaluation/he5_integrated_error_analysis_v0.2/he5_integrated_error_matrix_v0.2.csv,a36ecab58d9df162addf812edc47b4fec875bffb4bc83184c0fff1b0a3ab636d,bada112a721b2f6f7eb53f233f6d9943727af758cadd119c3eb11e89ee706450,a36ecab58d9df162addf812edc47b4fec875bffb4bc83184c0fff1b0a3ab636d,true,false,EXPECTED_MATCHES_LEGACY_CRLF_REPRESENTATION,HISTORICAL_LEGACY_CONTRACT,PRESERVE_HISTORICAL_LEGACY_AND_MAP,SHA-256 calculated from Git content bytes; CRLF value reconstructed in memory.
OCC-015,outputs/audits/exp07_dev_eval_freeze_v0.2/gate_exp07_dev_eval_freeze_manifest_v0.2.json,/input_sha256/outputs~1evaluation~1exp08_split_sensitivity_v01_vs_v02~1gate_exp08_corrective_microclose_manifest_v0.2.json,JSON,EXP-07,outputs/evaluation/exp08_split_sensitivity_v01_vs_v02/gate_exp08_corrective_microclose_manifest_v0.2.json,8ffeb632e5ef58ebf7523b38fc0815aa124509f5982641a76cc9cf8b570ee2c7,99a4ea28ba820e648fed7d64768bf3a50ef7bccd8405ca045de864218001c986,8ffeb632e5ef58ebf7523b38fc0815aa124509f5982641a76cc9cf8b570ee2c7,true,false,EXPECTED_MATCHES_LEGACY_CRLF_REPRESENTATION,HISTORICAL_LEGACY_CONTRACT,PRESERVE_HISTORICAL_LEGACY_AND_MAP,SHA-256 calculated from Git content bytes; CRLF value reconstructed in memory.
OCC-016,outputs/audits/exp07_dev_eval_freeze_v0.2/gate_exp07_dev_eval_freeze_manifest_v0.2.json,/output_sha256/exp07_dev_eval_usage_inventory_v0.2.csv,JSON,EXP-07,outputs/audits/exp07_dev_eval_freeze_v0.2/exp07_dev_eval_usage_inventory_v0.2.csv,84dafe4f2e5aa6bdf819ff9c88485287405aa45ce411ddf04742b80d083f7318,bed98d77760129de01c9365f1028d5bcd8fac349af8b0f0ad704d9bacc2a457f,84dafe4f2e5aa6bdf819ff9c88485287405aa45ce411ddf04742b80d083f7318,true,false,EXPECTED_MATCHES_LEGACY_CRLF_REPRESENTATION,HISTORICAL_LEGACY_CONTRACT,PRESERVE_HISTORICAL_LEGACY_AND_MAP,SHA-256 calculated from Git content bytes; CRLF value reconstructed in memory.
OCC-017,outputs/audits/exp07_dev_eval_freeze_v0.2/gate_exp07_dev_eval_freeze_manifest_v0.2.json,/output_sha256/exp07_post_freeze_change_audit_v0.2.csv,JSON,EXP-07,outputs/audits/exp07_dev_eval_freeze_v0.2/exp07_post_freeze_change_audit_v0.2.csv,02be2a43c7534b82588482a70b66600fed8fbbe06aace86f53cd6b66969098f7,9f7a781c8ce827af16a1c7b9560ded521f275a0e34fb39aaaa0f45cb2e64a512,02be2a43c7534b82588482a70b66600fed8fbbe06aace86f53cd6b66969098f7,true,false,EXPECTED_MATCHES_LEGACY_CRLF_REPRESENTATION,HISTORICAL_LEGACY_CONTRACT,PRESERVE_HISTORICAL_LEGACY_AND_MAP,SHA-256 calculated from Git content bytes; CRLF value reconstructed in memory.
OCC-018,outputs/audits/exp07_dev_eval_freeze_v0.2/gate_exp07_dev_eval_freeze_manifest_v0.2.json,/output_sha256/exp07_freeze_timeline_v0.2.csv,JSON,EXP-07,outputs/audits/exp07_dev_eval_freeze_v0.2/exp07_freeze_timeline_v0.2.csv,22d86f4422acfaeb13a45fc66552ec19e86b07d333342a005e548aee123f58a5,2d835c3f21ddefaf30da32263152d4475ff799e9e121ff22549f2dbfd59aedf7,22d86f4422acfaeb13a45fc66552ec19e86b07d333342a005e548aee123f58a5,true,false,EXPECTED_MATCHES_LEGACY_CRLF_REPRESENTATION,HISTORICAL_LEGACY_CONTRACT,PRESERVE_HISTORICAL_LEGACY_AND_MAP,SHA-256 calculated from Git content bytes; CRLF value reconstructed in memory.
OCC-019,outputs/audits/exp07_dev_eval_freeze_v0.2/gate_exp07_dev_eval_freeze_manifest_v0.2.json,/output_sha256/summary_exp07.md,JSON,EXP-07,outputs/audits/exp07_dev_eval_freeze_v0.2/summary_exp07.md,11347b07e460d7be34e98621220a489aacf94774f83ba5b2ff1cc1765b85a595,2f93dfca51b59fb92eceee9e68002aac17daa0c8ff6b090985a55f483263c284,11347b07e460d7be34e98621220a489aacf94774f83ba5b2ff1cc1765b85a595,true,false,EXPECTED_MATCHES_LEGACY_CRLF_REPRESENTATION,HISTORICAL_LEGACY_CONTRACT,PRESERVE_HISTORICAL_LEGACY_AND_MAP,SHA-256 calculated from Git content bytes; CRLF value reconstructed in memory.
OCC-020,outputs/evaluation/exp04_consolidated_closure_v0.2/exp04_final_provenance_registry_v0.2.csv,row:5/column:sha256/occurrence:1,CSV,EXP-04 / GROUP 1,outputs/audits/data_aduanas_splits_clase87_v0.2/audit_summary_v0.2.json,79097fcc162cca8690f9382b5e529cfbd8d714575ad7fb96fc044eca2343d027,9c2ee54c1e8c04c004e09ab5c5c0b4d02f326dcf9a308723edbd6eef1aa1f770,79097fcc162cca8690f9382b5e529cfbd8d714575ad7fb96fc044eca2343d027,true,false,EXPECTED_MATCHES_LEGACY_CRLF_REPRESENTATION,ACTIVE_CANONICAL_CONTRACT,CANONICALIZE_ACTIVE_SOURCE_AT_LOCATOR,SHA-256 calculated from Git content bytes; CRLF value reconstructed in memory.
