coverage,flat_v0_2,hierarchical_v0_2,delta_hierarchical_minus_flat
Exact@100,0.07102272727272728,0.10132575757575757,0.03030303030303029
HS-6@100,0.09375,0.11174242424242424,0.01799242424242424
HS-4@100,0.20833333333333334,0.25,0.04166666666666666
Chapter@100,0.7632575757575758,0.509469696969697,-0.2537878787878788
Exact@200,not_available_frozen_depth_100,0.3039772727272727,not_computed
HS-6@200,not_available_frozen_depth_100,0.34375,not_computed
HS-4@200,not_available_frozen_depth_100,0.5009469696969697,not_computed
Chapter@200,not_available_frozen_depth_100,0.7670454545454546,not_computed
