case_id,query,historical_rank,historical_candidate_code,historical_score,historical_candidate_history_rank,historical_precedent_ids,historical_precedent_count,historical_precedent_case_id,historical_precedent_id_unico,historical_precedent_dam,historical_precedent_serie,historical_precedent_code,historical_precedent_description,traceability_complete,normative_evidence_status,normative_doc_ids,normative_source,normative_version,normative_type,normative_document_code,normative_source_page,normative_source_line,normative_evidence_reference,has_exact_nandina8_evidence,has_hs6_evidence,has_hs4_evidence,has_chapter_evidence,normative_corpus_sha256
DA-EVAL-V02-00004,"M1 SUV TOYOTA RAIZE 1.2 MID CVT AÑO 2026 A251LA-GBXF C1:GRIS OSCURO METALICO, CO:GASOLINA, SN:0, NR:4, AR:16/7, N1:205/65R16, DE:2525 NC:3, CC:1198, CH:MHKAB1BA5TJ144576, VI:MHKAB1BA5TJ144576, MO:WAA210899 AS:5, EJ:2, FR:4X2, TT:CVT, PA:4, PM:65@6000 ACD, LET, ARA, BSA, CRT, DAS, EAV, EEL, PEL, KLM:35, LA:4030, AN:1710, AL:1605",2,87034090,67.63490008190868,3,DA-HIST-V02-00483,1,DA-HIST-V02-00483,118-2026-10-047354-00-1,118-2026-10-047354-00,1,87034090,"M1,Marca:TOYOTA,Modelo:RAV 4,VE:HEV 2.5 FULL D-LUX 4X2 CVT,Año Mod.:2026 ,NR:4,AR:18/7,N1:225/65R18,N2:225/65R18,DE:2690 NC:4,CC:2487,CH:JTMW23FV2TD210444,VI:JTMW23FV2TD210444,MO:A25AS726370,ACC:AIRE ACONDICIONA AS:05,EJ:02,FR:4X2,TT:CVT,PA:4,PM:131@5700,PB:2180,PN:1710,CU:470 CA:SUV,C1:GRIS,CO:HÍBRIDO (GASOLINA/BA,SN:0,LA:4600,AN:1855,AL:1685",1,exact_nandina8_evidence,NANDINA_87034090,NANDINA,hierarchical_v0.1,nandina_8,87034090,403,55,8703.40.90 - - Los demás u,1,1,1,1,f389ae6c303279cfea23697cbedb3315a5254254c2efc2450cf28f81243df175
DA-EVAL-V02-00004,"M1 SUV TOYOTA RAIZE 1.2 MID CVT AÑO 2026 A251LA-GBXF C1:GRIS OSCURO METALICO, CO:GASOLINA, SN:0, NR:4, AR:16/7, N1:205/65R16, DE:2525 NC:3, CC:1198, CH:MHKAB1BA5TJ144576, VI:MHKAB1BA5TJ144576, MO:WAA210899 AS:5, EJ:2, FR:4X2, TT:CVT, PA:4, PM:65@6000 ACD, LET, ARA, BSA, CRT, DAS, EAV, EEL, PEL, KLM:35, LA:4030, AN:1710, AL:1605",3,87038090,47.41782533720939,6,DA-HIST-V02-00061,1,DA-HIST-V02-00061,118-2026-10-002710-00-3,118-2026-10-002710-00,3,87038090,"M1,YONSLAND,D21 VE:2026,2026 CA:HATCHBACK,C1:BLANCO,CO:ELECTRICO,SN:0 CC:0,CH/VIN:LW0SWKZ11T4260002,MO:3.0 KW / 3000 RPM AS:4,FR:4X2,TT:AUT,PA:4,PM: 1.00@ 4.00,PB:1200,PN:400,CU:800 SAC,KM:1.00 LA:3100,AN:1500,AL:1430, NR:4,AR:15/19, 15/19,N1:255/45 19,N2:255 /45 19,DE:2",1,exact_nandina8_evidence,NANDINA_87038090,NANDINA,hierarchical_v0.1,nandina_8,87038090,404,17,8703.80.90 - - Los demás u,1,1,1,1,f389ae6c303279cfea23697cbedb3315a5254254c2efc2450cf28f81243df175
DA-EVAL-V02-00005,"Aro de 24 agujeros, S/M, S/M Aro de 24 agujeros HX13.00/2.5-29 (TL tire, 24 holes) Cast wheel HX13.00/2.5-29 (TL tire, 24 holes) // Cod: 4110708782 Soportar el neumático, permitir unión con el buje mediante radios Acero // Componente repuesto para maquinaria minera,Pago crédito dentro de los 540 días a",1,87083029,33.5352418016292,1,DA-HIST-V02-00534,1,DA-HIST-V02-00534,118-2026-10-096423-00-43,118-2026-10-096423-00,43,87083029,"ARO DE FIERRO,PEUGEOT,ARO DE FIERRO, PART NUMBER: 904976328B EPOXY WHITE RIM 17X7 ET42 ARO DE FIERRO USO: REPUESTO AUTOMOTRIZ, COMPONENTE: METAL",1,exact_nandina8_evidence,NANDINA_87083029,NANDINA,hierarchical_v0.1,nandina_8,87083029,406,3,8708.30.29 - - - Las demás partes u,1,1,1,1,f389ae6c303279cfea23697cbedb3315a5254254c2efc2450cf28f81243df175
DA-EVAL-V02-00005,"Aro de 24 agujeros, S/M, S/M Aro de 24 agujeros HX13.00/2.5-29 (TL tire, 24 holes) Cast wheel HX13.00/2.5-29 (TL tire, 24 holes) // Cod: 4110708782 Soportar el neumático, permitir unión con el buje mediante radios Acero // Componente repuesto para maquinaria minera,Pago crédito dentro de los 540 días a",2,87089999,32.08115922072435,2,DA-HIST-V02-00245,1,DA-HIST-V02-00245,118-2026-10-032318-00-35,118-2026-10-032318-00,35,87089999,"ENCENDEDOR, SKY, SK-ECU03-24 CIGARRETTE LIGHTER 24V. DE CIGARROS, 24V. CON LUZ AUTOMOTRIZ",1,exact_nandina8_evidence,NANDINA_87089999,NANDINA,hierarchical_v0.1,nandina_8,87089999,406,49,8708.99.99 - - - - Los demás u,1,1,1,1,f389ae6c303279cfea23697cbedb3315a5254254c2efc2450cf28f81243df175
DA-EVAL-V02-00005,"Aro de 24 agujeros, S/M, S/M Aro de 24 agujeros HX13.00/2.5-29 (TL tire, 24 holes) Cast wheel HX13.00/2.5-29 (TL tire, 24 holes) // Cod: 4110708782 Soportar el neumático, permitir unión con el buje mediante radios Acero // Componente repuesto para maquinaria minera,Pago crédito dentro de los 540 días a",3,87087020,27.817358508934444,4,DA-HIST-V02-00869,1,DA-HIST-V02-00869,118-2026-10-116515-00-56,118-2026-10-116515-00,56,87087020,"aro, S/M, HX1500DZH-2 /HX1500DZH-3 / HX1 aro PARA COMERCIALIZACION",1,exact_nandina8_evidence,NANDINA_87087020,NANDINA,hierarchical_v0.1,nandina_8,87087020,406,18,"8708.70.20 - - Embellecedores de ruedas (tapacubos, copas, vasos) y demás accesorios u",1,1,1,1,f389ae6c303279cfea23697cbedb3315a5254254c2efc2450cf28f81243df175
DA-EVAL-V02-00006,"Amortiguador, S/M, S/M AMORTIGUADOR DELANTERO Front absorber // Cod: 4110702313 Permite mantener la estabilidad de cabina Acero // Componente repuesto para maquinaria minera",1,87088020,22.297288675152547,1,DA-HIST-V02-00587,1,DA-HIST-V02-00587,118-2026-10-106393-00-147,118-2026-10-106393-00,147,87088020,"AMORTIGUADOR DE CABINA DELANTERO, S/M, S/M AMORTIGUADOR DE CABINA DELANTERO PART NO:WG1642440382/381 PIEZA DE CABINA METAL",1,exact_nandina8_evidence,NANDINA_87088020,NANDINA,hierarchical_v0.1,nandina_8,87088020,406,21,8708.80.20 - - Amortiguadores y sus partes u,1,1,1,1,f389ae6c303279cfea23697cbedb3315a5254254c2efc2450cf28f81243df175
DA-EVAL-V02-00006,"Amortiguador, S/M, S/M AMORTIGUADOR DELANTERO Front absorber // Cod: 4110702313 Permite mantener la estabilidad de cabina Acero // Componente repuesto para maquinaria minera",2,87141090,20.17120987425197,3,DA-HIST-V02-00681,1,DA-HIST-V02-00681,118-2026-10-106393-00-454,118-2026-10-106393-00,454,87141090,"AMORTIGUADOR DELANTERO, S/M, S/M AMORTIGUADOR DELANTERO PART NO:2905010-D650B PIEZA DE CABINA METAL",1,exact_nandina8_evidence,NANDINA_87141090,NANDINA,hierarchical_v0.1,nandina_8,87141090,407,23,8714.10.90 - - Los demás u,1,1,1,1,f389ae6c303279cfea23697cbedb3315a5254254c2efc2450cf28f81243df175
DA-EVAL-V02-00006,"Amortiguador, S/M, S/M AMORTIGUADOR DELANTERO Front absorber // Cod: 4110702313 Permite mantener la estabilidad de cabina Acero // Componente repuesto para maquinaria minera",3,87149900,19.258515866902307,6,DA-HIST-V02-00321,1,DA-HIST-V02-00321,118-2026-10-032668-00-80,118-2026-10-032668-00,80,87149900,"Disco de freno delantero, TAO MOTOR, TAO 300 Disco de freno delantero Front brake disc Acero",1,exact_nandina8_evidence,NANDINA_87149900,NANDINA,hierarchical_v0.1,nandina_8,87149900,407,34,8714.99.00 - - Los demás u,1,0,1,1,f389ae6c303279cfea23697cbedb3315a5254254c2efc2450cf28f81243df175
DA-EVAL-V02-00007,"Amortiguador, S/M, MDS110-75 Amortiguador MDS110-75 Shock absorber MDS110-75 // Cod: 4110704897 Permite mantener la estabilidad de cabina Acero // Componente repuesto para maquinaria minera",1,87088020,28.28357933176955,1,DA-HIST-V02-00741,1,DA-HIST-V02-00741,118-2026-10-113456-00-139,118-2026-10-113456-00,139,87088020,"AMORTIGUADOR POSTERIOR PIAGGIO,PIAGGIO,136451R, ES UN COMPONENTE EN LA SUSPENSION DE LA MOTO material metal REAR SHOCK ABSORBER ASSLY",1,exact_nandina8_evidence,NANDINA_87088020,NANDINA,hierarchical_v0.1,nandina_8,87088020,406,21,8708.80.20 - - Amortiguadores y sus partes u,1,1,1,1,f389ae6c303279cfea23697cbedb3315a5254254c2efc2450cf28f81243df175
DA-EVAL-V02-00007,"Amortiguador, S/M, MDS110-75 Amortiguador MDS110-75 Shock absorber MDS110-75 // Cod: 4110704897 Permite mantener la estabilidad de cabina Acero // Componente repuesto para maquinaria minera",2,87149290,18.676781884785818,3,DA-HIST-V02-00729,1,DA-HIST-V02-00729,118-2026-10-113456-00-119,118-2026-10-113456-00,119,87149290,"BUJE DE AMORTIGUADOR BOCAMAZA,BAJAJ,AB171016, ES UN COMPONENTE QUE AMORTIGUA EL EJE DE LA BOCAMAZA DELANTERA material metal con caucho BUSH FR SHOCK ABS",1,exact_nandina8_evidence,NANDINA_87149290,NANDINA,hierarchical_v0.1,nandina_8,87149290,407,29,8714.92.90 - - - Radios u,1,1,1,1,f389ae6c303279cfea23697cbedb3315a5254254c2efc2450cf28f81243df175
