row_key,arm,comparison,original_numerator,original_value,corrected_numerator,corrected_value,absolute_delta,denominator,frozen aggregate characterization,source version
EV04-hs6_at_10,EV04,hs6_at_10,75,0.07102272727272728,75,0.07102272727272728,0.0,1056,TINY_NONZERO_MRR_DECREASE_ONLY,3bf28c036b0a0af5dd54d88c3b0050c60365b7f1
EV04-hs4_at_10,EV04,hs4_at_10,100,0.0946969696969697,100,0.0946969696969697,0.0,1056,TINY_NONZERO_MRR_DECREASE_ONLY,3bf28c036b0a0af5dd54d88c3b0050c60365b7f1
EV04-chapter_at_10,EV04,chapter_at_10,236,0.22348484848484848,236,0.22348484848484848,0.0,1056,TINY_NONZERO_MRR_DECREASE_ONLY,3bf28c036b0a0af5dd54d88c3b0050c60365b7f1
EV04-exact_at_50,EV04,exact_at_50,96,0.09090909090909091,96,0.09090909090909091,0.0,1056,TINY_NONZERO_MRR_DECREASE_ONLY,3bf28c036b0a0af5dd54d88c3b0050c60365b7f1
EV04-hs6_at_50,EV04,hs6_at_50,106,0.10037878787878787,106,0.10037878787878787,0.0,1056,TINY_NONZERO_MRR_DECREASE_ONLY,3bf28c036b0a0af5dd54d88c3b0050c60365b7f1
EV04-hs4_at_50,EV04,hs4_at_50,192,0.18181818181818182,192,0.18181818181818182,0.0,1056,TINY_NONZERO_MRR_DECREASE_ONLY,3bf28c036b0a0af5dd54d88c3b0050c60365b7f1
EV04-chapter_at_50,EV04,chapter_at_50,399,0.3778409090909091,399,0.3778409090909091,0.0,1056,TINY_NONZERO_MRR_DECREASE_ONLY,3bf28c036b0a0af5dd54d88c3b0050c60365b7f1
EV04-exact_at_100,EV04,exact_at_100,107,0.10132575757575757,107,0.10132575757575757,0.0,1056,TINY_NONZERO_MRR_DECREASE_ONLY,3bf28c036b0a0af5dd54d88c3b0050c60365b7f1
EV04-hs6_at_100,EV04,hs6_at_100,118,0.11174242424242424,118,0.11174242424242424,0.0,1056,TINY_NONZERO_MRR_DECREASE_ONLY,3bf28c036b0a0af5dd54d88c3b0050c60365b7f1
EV04-hs4_at_100,EV04,hs4_at_100,264,0.25,264,0.25,0.0,1056,TINY_NONZERO_MRR_DECREASE_ONLY,3bf28c036b0a0af5dd54d88c3b0050c60365b7f1
EV04-chapter_at_100,EV04,chapter_at_100,538,0.509469696969697,538,0.509469696969697,0.0,1056,TINY_NONZERO_MRR_DECREASE_ONLY,3bf28c036b0a0af5dd54d88c3b0050c60365b7f1
EV04-exact_at_200,EV04,exact_at_200,321,0.3039772727272727,321,0.3039772727272727,0.0,1056,TINY_NONZERO_MRR_DECREASE_ONLY,3bf28c036b0a0af5dd54d88c3b0050c60365b7f1
EV04-hs6_at_200,EV04,hs6_at_200,363,0.34375,363,0.34375,0.0,1056,TINY_NONZERO_MRR_DECREASE_ONLY,3bf28c036b0a0af5dd54d88c3b0050c60365b7f1
EV04-hs4_at_200,EV04,hs4_at_200,529,0.5009469696969697,529,0.5009469696969697,0.0,1056,TINY_NONZERO_MRR_DECREASE_ONLY,3bf28c036b0a0af5dd54d88c3b0050c60365b7f1
EV04-chapter_at_200,EV04,chapter_at_200,810,0.7670454545454546,810,0.7670454545454546,0.0,1056,TINY_NONZERO_MRR_DECREASE_ONLY,3bf28c036b0a0af5dd54d88c3b0050c60365b7f1
D1a-Top@1,D1a,Top@1,0,0.0,1,0.000946969696969697,0.000946969696969697,1056,POSITIVE_NONZERO_EXACT_RANKING_CHANGE_WITH_MINOR_HS4_MIXED_EFFECT,6a26777395630722a18bca7826b7df96613ea4ea
D1a-Top@3,D1a,Top@3,4,0.003787878787878788,11,0.010416666666666666,0.006628787878787878,1056,POSITIVE_NONZERO_EXACT_RANKING_CHANGE_WITH_MINOR_HS4_MIXED_EFFECT,6a26777395630722a18bca7826b7df96613ea4ea
D1a-Top@5,D1a,Top@5,36,0.03409090909090909,54,0.05113636363636364,0.01704545454545455,1056,POSITIVE_NONZERO_EXACT_RANKING_CHANGE_WITH_MINOR_HS4_MIXED_EFFECT,6a26777395630722a18bca7826b7df96613ea4ea
D1a-Top@10,D1a,Top@10,165,0.15625,188,0.17803030303030304,0.02178030303030304,1056,POSITIVE_NONZERO_EXACT_RANKING_CHANGE_WITH_MINOR_HS4_MIXED_EFFECT,6a26777395630722a18bca7826b7df96613ea4ea
